comodidad	安慰 (ān wèi)
Desplegar / Iniciar. \n Matiz: Abrir algo o dar comienzo a una actividad a gran escala. 	展开 (zhǎn kāi)
Ocupar / Poseer. \n Matiz: Tomar un espacio, tiempo o posición. 	占 (zhàn)
s. mérito, virtud, ventaja. \n Matiz: Cualidad destacada y positiva de alguien. 	长处 (cháng chù)
A largo plazo. \n Matiz: Algo que dura o se planifica para mucho tiempo. 	长期 (cháng qī)
Larga distancia. \n Matiz: Referente a viajes o comunicaciones muy alejadas. 	长途 (cháng tú)
Convocar / Celebrar. \n Matiz: Organizar y llevar a cabo una reunión formal. 	召开 (zhào kāi)
s. internet	网络 (wǎng luò)
#109. "No pasa nada", "No es grave", "No tiene importancia (porque no es un problema)". \n Esta es la frase que usas para quitarle importancia a un problema o error. Es muy empática.	不要紧 (bú yào jǐn)
#112. mod. vistoso, "multicolor", "de muchos colores" o "de todos los colores del arcoíris". \n Se usa principalmente para describir paisajes, objetos o decoraciones que son muy vibrantes y variadas. Funciona como un adjetivo.	五颜六色 (wǔ yán liù sè)
#47. Realidad. Se refiere a lo que pasa de verdad en el mundo (lo práctico)	现实 (xiàn shí)
#48. Verdadero, real. Se refiere a lo que no es mentira (lo auténtico)	真实 (zhēn shí)
#134. Hoy en día / en la actualidad. \n Esta palabra es más elegante, formal y tiene una carga comparativa.	如今 (rú jīn)
#125. “atención médica” o “servicios médicos”.	医疗 (yī liáo)
Importar, dar importancia, "tomarse a pecho". \n Es un sentimiento interno y psicológico. Se trata de cuánto te afecta algo emocionalmente o qué tanto valor le das a una opinión o situación. \n Se usa mucho para hablar de sentimientos en relaciones o de la importancia que le das a tu reputación.	在乎 (zài hū)
#14. Esforzarse por / luchar por (Meta positiva)	争取 (zhēng qǔ)
#71. Formular, elaborar. \n Se usa para el proceso de creación.	制订 (zhì dìng)
Inteligencia (artificial/funcional), inteligente (tecnología), capacidad intelectual aplicada. \n Se refiere a la capacidad de realizar tareas de forma inteligente. Es la palabra clave para la tecnología (Smart) y para la Inteligencia Artificial.	智能 (zhì néng)
#100. Nivel intermedio	中级 (zhōng jí)
Es un sustantivo completo e independiente que se traduce como "variedad", "categoría". A diferencia de un clasificador, se usa para hablar en general sobre la diversidad que existe dentro de un grupo físico o biológico (como un catálogo), actuando como el sujeto o el objeto de tu frase.	种类 (zhǒng lèi) \n 水果的种类 (shuǐguǒ de zhǒnglèi - las variedades/categorías de frutas)
Es un sustantivo que también se traduce como "tipo", pero se enfoca en el "estilo", "formato" o "molde" de las cosas. Se utiliza para clasificar elementos basándose en sus características internas, estructura o diseño, siendo la palabra perfecta para hablar de tecnología, arte o personalidades.	类型 (lèi xíng) \n	音乐类型 (yīnyuè lèixíng - género/tipo de música)
#83. La combinación como "Unión" o "Grupo". \n Esta palabra se refiere al acto de unir piezas, personas o elementos para formar un todo.	组合 (zǔ hé)
Dirigirse a / estar orientado a. \n Matiz: Tener un objetivo específico.	针对 (zhēn duì)
Ráfaga / formación (militar). \n Matiz: Grupo organizado o breve intervalo.	阵 (zhèn)
Ordenado. \n Matiz: Bien dispuesto y limpio.	整齐 (zhěng qí)
Completamente. \n Matiz: Intensifica cantidad o duración.	整整 (zhěng zhěng)
Evidencia. \n Matiz: Prueba para demostrar algo.	证据 (zhèng jù)
Gobierno. \n Matiz: Autoridad administrativa de un país.	政府 (zhèng fǔ)
Política. \n Matiz: Actividad relacionada con el gobierno.	政治 (zhèng zhì)
Clasificador (objetos largos). \n Matiz: Para lápices, animales, etc.	支 (zhī)
Transmisión en vivo. \n Matiz: Contenido en tiempo real.	直播 (zhí bō)
Empleado / trabajador. \n Matiz: Persona que trabaja en una empresa.	职工 (zhí gōng)
Guiar. \n Matiz: Dar instrucciones.	指导 (zhǐ dǎo)
Hasta hoy. \n Matiz: Desde el pasado hasta ahora.	至今 (zhì jīn)
Voluntario (persona). \n Matiz: Persona que ayuda sin pago.	志愿者 (zhì yuàn zhě)
Reglamento, régimen, sistema institucional. \n Matiz: Es un conjunto organizado y formal de leyes, políticas y estatutos que rigen de manera estructural a una organización, empresa, gobierno o a la sociedad entera a largo plazo.	制度 (zhì dù)
Fabricar. \n Matiz: Producir físicamente.	制造 (zhì zào)
Elaborar. \n Matiz: Crear (manual o intelectual).	制作 (zhì zuò)
Gobernar / curar. \n Matiz: Administrar o tratar enfermedad.	治 (zhì)
Tratar (médicamente). \n Matiz: Aplicar medicina.	治疗 (zhì liáo)
Nación china. \n Matiz: Pueblo chino como conjunto.	中华民族 (zhōng huá mín zú)
Intermediario. \n Matiz: Persona que conecta partes.	中介 (zhōng jiè)
Centro. \n Matiz: Punto medio o núcleo.	中心 (zhōng xīn)
Medicina tradicional china. \n Matiz: Sistema médico tradicional.	中医 (zhōng yī)
Plantar. \n Matiz: Cultivar plantas.	种植 (zhòng zhí)
Semilla. \n Matiz: Origen de planta.	种子 (zhǒng zi)
Importante. \n Matiz: De gran valor.	重大 (zhòng dà)
Repetir. \n Matiz: Hacer otra vez.	重复 (chóng fù)
Peso. \n Matiz: Medida de masa.	重量 (zhòng liàng)
Aniversario. \n Matiz: Cumplimiento de años.	周年 (zhōu nián)
Cerdo. \n Matiz: Animal.	猪 (zhū)
Gradualmente. \n Matiz: Poco a poco.	逐步 (zhú bù)
Poco a poco. \n Matiz: Cambio progresivo.	逐渐 (zhú jiàn)
Presidir. \n Matiz: Dirigir reunión.	主持 (zhǔ chí)
Tomar la iniciativa / ser proactivo. \n Matiz: hacer algo por iniciativa propia (no esperar a que te lo pidan).	主动 (zhǔ dòng). \n 我的感冒更主动了，我想明天请一天假。
Dueño. \n Matiz: Propietario.	主人 (zhǔ rén)
Director. \n Matiz: Encargado de área.	主任 (zhǔ rèn)
Tema. \n Matiz: Asunto principal.	主题 (zhǔ tí)
Presidente. \n Matiz: Jefe de organización.	主席 (zhǔ xí)
Vivienda. \n Pone el foco en el aspecto residencial o habitacional (condiciones de vida, alquiler de viviendas, política de vivienda).	住房 (zhù fáng) \n 这里的住房价格很高。Los precios de la vivienda aquí son muy altos. (Se refiere al mercado de casas/departamentos para habitar).
Agarrar. \n Matiz: Tomar con la mano.	抓 (zhuā)
Aprovechar el tiempo. \n Matiz: No perder oportunidad.	抓紧 (zhuā jǐn)
Experto. \n Matiz: Persona con conocimiento.	专家 (zhuān jiā)
Concentrado. \n Matiz: Enfocado.	专心 (zhuān xīn)
Cambiar. \n Matiz: Transformar.	转变 (zhuǎn biàn)
Transmitir mensaje. \n Matiz: Pasar información.	转告 (zhuǎn gào)
Renovar / decorar. \n Matiz: Mejorar espacio.	装修 (zhuāng xiū)
Situación. \n Matiz: Estado actual.	状况 (zhuàng kuàng)
Estado. \n Matiz: Condición.	状态 (zhuàng tài)
Perseguir. \n Matiz: Ir detrás de.	追 (zhuī)
Buscar / perseguir meta. \n Matiz: Esfuerzo continuo.	追求 (zhuī qiú)
Calificación. \n Matiz: Requisitos necesarios.	资格 (zī gé)
Fondos. \n Matiz: Dinero disponible.	资金 (zī jīn)
Recursos. \n Matiz: Medios disponibles.	资源 (zī yuán)
Letra. \n Matiz: Símbolo alfabético.	字母 (zì mǔ)
Desde. \n Matiz: Punto de inicio.	自从 (zì cóng)
Automático. \n Matiz: Funciona solo.	自动 (zì dòng)
Conscientemente. \n Matiz: De forma voluntaria.	自觉 (zì jué)
Uno mismo (formal). \n Matiz: Enfatiza el propio ser.	自身 (zì shēn)
Libertad. \n Matiz: Sin restricciones.	自由 (zì yóu)
Hijos. \n Matiz: Descendientes.	子女 (zǐ nǚ)
En total. \n Matiz: Cantidad final.	总共 (zǒng gòng)
Presidente. \n Matiz: Jefe de estado.	总统 (zǒng tǒng)
En resumen. \n Matiz: Conclusión.	总之 (zǒng zhī)
Suficiente. \n Matiz: Cantidad adecuada.	足够 (zú gòu)
Impedir. \n Matiz: Evitar acción.	阻止 (zǔ zhǐ)
Formar. \n Matiz: Crear grupo.	组成 (zǔ chéng)
Boca. \n Matiz: Parte del cuerpo.	嘴巴 (zuǐ bā)
Inicial. \n Matiz: Al comienzo.	最初 (zuì chū)
fr. al aire libre	户外 (hù wài)
s. cliente. \n Cliente de negocios / cuenta comercial. Enfatiza la relación comercial. Muy usado en ventas, consultoría, banca, IT, B2B. Puede ser una persona o una empresa. Suele implicar una relación continua	客户 (kè hù)
s. Cuenta (bancaria)	账户 (zhàng hù)
s. usuario	用户 (yòng hù)
Respirar / Respiración. \n Matiz: El acto fisiológico de inhalar y exhalar aire.	呼吸 (hū xī)
Ignorar / Descuidar. \n Matiz: No prestar atención a algo por falta de cuidado o de forma deliberada.	忽视 (hū shì)
Lago. \n Matiz: Gran masa de agua dulce rodeada de tierra.	湖 (hú)
Tema / Tópico. \n Matiz: El asunto sobre el que se está conversando.	话题 (huà tí)
De pequeña escala / Miniatura / Tamaño pequeño.	小型 (xiǎo xíng)




